start_time,end_time
01:32:29.640,01:32:49.410
01:32:49.410,01:33:01.171
01:33:01.171,01:33:06.969
01:33:06.969,01:33:13.183
01:33:13.183,01:33:15.727
01:33:15.727,01:33:18.355
01:33:18.355,01:33:19.731
01:33:19.731,01:33:38.208
01:33:38.208,01:33:45.382
01:33:45.382,01:33:56.059
01:33:56.059,01:33:59.354
01:33:59.354,01:34:07.571
01:34:07.571,01:34:40.395
01:34:40.395,01:34:43.898
01:34:43.898,01:34:58.037
01:34:58.037,01:35:07.547
01:35:07.547,01:35:11.968
01:35:11.968,01:35:21.436
01:35:21.436,01:35:28.735
01:35:28.735,01:35:31.612
01:35:31.612,01:35:39.245
01:35:39.245,01:35:41.831
01:35:41.831,01:35:44.709
01:35:44.709,01:35:49.380
01:35:49.380,01:36:00.016
01:36:00.016,01:36:10.109
01:36:10.109,01:36:13.195
01:36:13.195,01:36:19.994
01:36:19.994,01:36:24.457
01:36:24.457,01:36:26.876
01:36:26.876,01:36:29.795
01:36:29.795,01:36:42.808
01:36:42.808,01:36:45.519
01:36:45.519,01:37:07.333
01:37:07.333,01:37:17.634
01:37:17.634,01:37:22.139
01:37:22.139,01:37:26.727
01:37:26.727,01:37:30.606
01:37:30.606,01:37:32.232
01:37:32.232,01:37:35.819
01:37:35.819,01:37:38.030
01:37:38.030,01:37:39.907
01:37:39.907,01:37:48.916
01:37:48.916,01:37:52.502
01:37:52.502,01:37:56.006
01:37:56.006,01:37:59.217
01:37:59.217,01:38:02.095
01:38:02.095,01:38:05.974
01:38:05.974,01:38:10.270
01:38:10.270,01:38:15.817
01:38:15.817,01:38:18.028
01:38:18.028,01:38:20.113
01:38:20.113,01:38:21.490
01:38:21.490,01:38:26.119
01:38:26.119,01:38:32.459
01:38:32.459,01:38:33.919
01:38:33.919,01:39:05.366
01:39:05.366,01:39:30.725
01:39:30.725,01:39:37.774
01:39:37.774,01:39:46.949
01:39:46.949,01:40:02.548
01:40:02.548,01:40:15.978
01:40:15.978,01:40:36.165
01:40:36.165,01:40:56.560
01:40:56.560,01:41:04.735
01:41:04.735,01:41:16.497
01:41:16.497,01:41:22.294
01:41:22.294,01:41:27.466
01:41:27.466,01:41:32.262
01:41:32.262,01:41:40.896
01:41:40.896,01:41:43.482
01:41:43.482,01:41:45.651
01:41:45.651,01:41:48.153
01:41:48.153,01:41:56.995
01:41:56.995,01:42:02.835
01:42:02.835,01:42:06.797
01:42:06.797,01:42:26.066
01:42:26.066,01:42:39.454
01:42:39.454,01:42:46.878
01:42:46.878,01:42:54.219
01:42:54.219,01:42:59.641
01:42:59.641,01:43:04.938
01:43:04.938,01:43:16.950
01:43:16.950,01:43:36.052
01:43:36.052,01:43:43.268
01:43:43.268,01:43:52.277
01:43:52.277,01:43:56.072
01:43:56.072,01:43:57.532
01:43:57.532,01:44:05.498
01:44:05.498,01:44:07.834
01:44:07.834,01:44:22.223
01:44:22.223,01:44:37.613
01:44:37.613,01:44:51.961
01:44:51.961,01:45:00.928
01:45:00.928,01:45:11.105
01:45:11.105,01:45:23.409
01:45:23.409,01:45:42.720
01:45:42.720,01:46:07.745
01:46:07.745,01:46:16.211
01:46:16.211,01:46:26.930
01:46:26.930,01:46:32.060
01:46:32.060,01:46:35.522
01:46:35.522,01:46:38.567
01:46:38.567,01:47:04.342
01:47:04.342,01:47:09.890
01:47:09.890,01:47:28.033
01:47:28.033,01:47:32.495
01:47:32.495,01:47:36.416
01:47:36.416,01:47:47.344
01:47:47.344,01:47:53.099
01:47:53.099,01:47:58.229
01:47:58.229,01:48:02.150
01:48:02.150,01:48:03.610
01:48:03.610,01:48:07.781
01:48:07.781,01:48:19.000
01:48:19.000,01:48:21.461
01:48:21.461,01:48:26.507
01:48:26.507,01:48:31.888
01:48:31.888,01:48:37.935
01:48:37.935,01:49:01.334
01:49:01.334,01:49:05.087
01:49:05.087,01:49:15.264
01:49:15.264,01:49:28.486
01:49:28.486,01:49:35.868
01:49:35.868,01:49:45.920
01:49:45.920,01:49:59.350
01:49:59.350,01:50:03.896
01:50:03.896,01:50:05.564
01:50:05.564,01:50:09.151
01:50:09.151,01:50:11.862
01:50:11.862,01:50:14.823
01:50:14.823,01:50:18.243
01:50:18.243,01:50:32.174
01:50:32.174,01:50:35.969
01:50:35.969,01:50:45.437
01:50:45.437,01:50:49.566
01:50:49.566,01:50:54.112
01:50:54.112,01:51:01.036
01:51:01.036,01:51:06.875
01:51:06.875,01:51:08.919
01:51:08.919,01:51:10.337
01:51:10.337,01:51:12.464
01:51:12.464,01:51:17.219
01:51:17.219,01:51:20.972
01:51:20.972,01:51:22.432
01:51:22.432,01:51:24.559
01:51:24.559,01:51:26.812
01:51:26.812,01:51:28.647
01:51:28.647,01:51:41.576
01:51:41.576,01:52:02.806
01:52:02.806,01:52:07.310
01:52:07.310,01:52:19.739
01:52:19.739,01:52:26.246
01:52:26.246,01:52:43.888
01:52:43.888,01:52:59.320
01:52:59.320,01:53:05.868
01:53:05.868,01:53:15.002
01:53:15.002,01:53:17.255
01:53:17.255,01:53:29.684
01:53:29.684,01:53:32.061
